"DEMO_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AUS","Australia","2021","2021",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AUT","Austria","2021","2021",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BEL","Belgium","2021","2021",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CAN","Canada","2021","2021",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CZE","Czechia","2021","2021",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","DNK","Denmark","2021","2021",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","FIN","Finland","2021","2021",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","FRA","France","2021","2021",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","DEU","Germany","2021","2021",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","GRC","Greece","2021","2021",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","HUN","Hungary","2021","2021",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ISL","Iceland","2021","2021",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","IRL","Ireland","2021","2021",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ITA","Italy","2021","2021",1.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","JPN","Japan","2021","2021",1.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","KOR","Republic of Korea","2021","2021",0.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","LUX","Luxembourg","2021","2021",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","MEX","Mexico","2021","2021",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NLD","Netherlands","2021","2021",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NZL","New Zealand","2021","2021",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","NOR","Norway","2021","2021",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","POL","Poland","2021","2021",1.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","PRT","Portugal","2021","2021",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","SVK","Slovakia","2021","2021",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AFG","Afghanistan","2021","2021",4.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ALB","Albania","2021","2021",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","DZA","Algeria","2021","2021",2.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AGO","Angola","2021","2021",5.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ATG","Antigua and Barbuda","2021","2021",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ARG","Argentina","2021","2021",1.9,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ARM","Armenia","2021","2021",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","ABW","Aruba","2021","2021",1.2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AZE","Azerbaijan","2021","2021",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BHS","Bahamas","2021","2021",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BHR","Bahrain","2021","2021",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BGD","Bangladesh","2021","2021",2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BRB","Barbados","2021","2021",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BLZ","Belize","2021","2021",2,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BEN","Benin","2021","2021",5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BMU","Bermuda","2021","2021",1.3,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BTN","Bhutan","2021","2021",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BOL","Bolivia (Plurinational State of)","2021","2021",2.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BIH","Bosnia and Herzegovina","2021","2021",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BWA","Botswana","2021","2021",2.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BRA","Brazil","2021","2021",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BRN","Brunei Darussalam","2021","2021",1.8,,
